Transaction ID,Customer ID,Transaction Date,Product Category,Price,Quantity,Payment Method,Shipping Status,Customer Rating
539db039-37c0-4f91-b6fa-079af50ee7fd,c3b9ac53-4a42-46ac-9850-f46605e4e94a,2024-04-13,Electronics,370.81,3.0,PayPal,Shipped,2.0
2c37f0fc-0ca2-4f93-97bf-659fa96788f1,1b2acf0b-cb58-44c4-a272-6f01d5b0116e,2023-07-10,Sports,119.51,4.0,Debit Card,Delivered,1.0
037d7859-03e2-45a0-ad46-80d8ab92fbd4,4a636dcd-686b-45fc-ba6e-54056dc273fb,2025-01-29,Electronics,219.32,2.0,PayPal,Shipped,2.0
84d6a5ff-a05c-4d7c-9fb5-1106a1594a97,b2cc871e-3d07-4136-bea9-782d5a6e8dc9,2023-03-25,Books,76.09,1.0,Debit Card,Pending,3.0
5c899683-d731-4c29-a7c0-715f5c8368da,d3a7f85b-0d5d-42b2-bae7-d221da5d861b,2023-09-13,Home & Kitchen,59.01,1.0,PayPal,Shipped,3.0
731c0491-3f7e-4d4e-968d-f2ddf5c67371,a68098f5-6901-4199-9faf-c6a7588cb6d3,2023-08-26,Books,48.15,4.0,Crypto,Shipped,1.0
b1406650-b0df-4c90-abd8-f7cdfad3e2b5,44ce3b11-042d-43e6-aced-96bfee556979,2025-01-07,Home & Kitchen,331.55,2.0,Crypto,Pending,1.0
8841653b-9ac5-4697-9a11-30ce38f43539,1f0d3d04-4de3-4adb-90db-d58996194ba4,2024-07-31,Home & Kitchen,414.33,1.0,Credit Card,Pending,1.0
3551aa2c-1307-4830-9973-c338b8ba46d5,0e34493c-c129-475a-b7b1-214f0c16ed24,2023-06-03,Home & Kitchen,401.77,4.0,Debit Card,Delivered,4.0
8f04043f-fc4b-47e9-bebd-50d1bac709e8,3df9ce2b-f966-4ae4-a580-61d1a1abff97,2024-07-16,Electronics,267.64,5.0,Crypto,Shipped,4.0
0055fe59-70d3-4f92-9541-73a9822db6de,8c5132ec-43d7-4faa-972a-d92efa71552a,2024-10-21,Electronics,196.71,4.0,PayPal,Delivered,1.0
4a79684b-4a0b-41e4-810c-33dc3a468f1a,c34506ea-0415-4e6b-b565-11aebcb852d8,2023-08-24,Sports,135.63,4.0,PayPal,Delivered,5.0
ddb846bf-7009-4f78-a679-373d72d856eb,fdff1770-0117-4c92-a753-b6b13504138b,2023-11-23,Electronics,411.92,5.0,Debit Card,Delivered,4.0
e960c4a5-6269-486d-b676-08f5c78e4437,c40f1944-7fa0-4b7a-be65-2b9f17f2dc78,2024-08-11,Home & Kitchen,238.08,5.0,PayPal,Pending,1.0
6d534ff6-5385-4ad0-ba5c-8cb2b1a557b7,7b9cdc7a-6d8a-4a99-b108-c2a92b089975,2023-07-06,Clothing,442.99,5.0,Gift Card,Shipped,4.0
5b06b627-8105-45b1-a551-e758ec395762,e36bf687-dafd-4b65-b435-54d90a0873b7,2023-12-31,Electronics,375.98,1.0,PayPal,Shipped,4.0
9e707f4f-e78d-4ed5-8ec9-241a8c779ff4,314ef0a7-028d-4179-b071-37e568d581a1,2023-10-19,Electronics,388.88,1.0,Gift Card,Shipped,3.0
f233f753-88e7-4762-8bff-21948c514fdb,ac0eaac7-7872-46c9-8f55-fe8c248b4db2,2024-03-24,Books,104.05,3.0,Gift Card,Pending,1.0
5fca3d20-5d73-44d3-b7df-96e2ac08b1e7,d80a4492-034d-4dc8-8cb8-ed81640ef9d2,2024-04-30,Sports,216.05,3.0,PayPal,Delivered,3.0
65103b49-0d79-426d-8bd9-012745c8cf64,ccba6cff-460e-4976-90c7-d7194202a6f5,2025-01-29,Sports,445.92,5.0,Gift Card,Shipped,3.0
1c395276-2d11-4166-b6fd-588ad3300d24,1fa7c9a2-4622-4f75-b323-c7b7990b9fd5,2024-11-09,Books,114.0,3.0,Debit Card,Pending,5.0
896d45a7-2593-49cc-b4b8-09c24e2acdb3,1e212476-5ce9-404b-b5d7-85db463df24f,2024-07-15,Clothing,233.75,5.0,Crypto,Shipped,5.0
615e431b-c378-49aa-aafc-80e2bebb00c6,f5da95b2-d53b-4e59-b08e-463cbd4e1538,2023-11-02,Home & Kitchen,286.97,4.0,Debit Card,Pending,1.0
745b4715-af43-4799-a038-1f46d0dddc0d,41f5f064-64a5-466a-8af9-cf2d4f1e43be,2024-09-07,Home & Kitchen,109.71,3.0,Gift Card,Pending,5.0
e764c1b0-c666-43af-a2f3-c2ddffe3cbc8,e85708ac-0d74-4a80-9e43-ef44f0c2bb98,2025-02-18,Books,240.55,3.0,Gift Card,Shipped,4.0
e124abd1-6010-4381-815a-618a6d41451a,a087a218-746d-46db-9a5d-b87477f27fa8,2024-05-31,Home & Kitchen,110.85,1.0,Crypto,Shipped,1.0
6f470ca6-b0d1-4b06-bb84-96bb7810852b,8553ee0c-3cd8-4abc-a4da-b020325af191,2024-03-02,Home & Kitchen,106.18,1.0,Debit Card,Shipped,3.0
72dd4438-47b5-42e3-8faf-558ec81b24d7,0bb00f3a-f989-4d89-900a-4b910e91d9a7,2024-07-26,Books,242.62,1.0,Debit Card,Shipped,1.0
5f48d0fb-025b-4bcc-9db2-35e0ff5604ac,c7769550-3679-45c3-99fd-b9cb4e4149c9,2023-05-10,Sports,363.68,1.0,Gift Card,Shipped,3.0
ca15ee15-8c7c-4cba-aea1-7e5eb9d05c4b,8894a49c-dac6-4d3b-9053-99f84b85b28a,2023-12-28,Books,90.99,3.0,Credit Card,Delivered,2.0
006e1178-9a67-4c41-a4f6-aa91010590e0,18fd6dd5-4659-4bc6-9d02-5afe4c235d2a,2024-07-25,Electronics,428.14,2.0,Debit Card,Pending,3.0
e0057fae-44dd-41d1-b0d6-2b6c3dc792b4,fd8520c6-705e-4578-9b3e-7e1caaac0bab,2024-03-14,Clothing,429.0,5.0,Gift Card,Pending,5.0
418f25a2-b633-4623-ad9b-5b9031921584,a043d079-50cb-4077-a80b-408754129993,2024-02-14,Books,207.57,3.0,PayPal,Pending,1.0
f1b768ac-45be-4ac4-b13c-48f0900886f2,dff23941-d2c3-4fd3-ba4d-1d52826c8e18,2023-03-04,Sports,483.53,2.0,Crypto,Pending,3.0
8f995a9e-5de1-40a1-b358-e5cc66e5a3a9,19e9b94f-c8cd-46cc-b1e7-13c6489e7b22,2024-05-20,Home & Kitchen,64.3,2.0,Credit Card,Shipped,1.0
38f17f38-6bf7-4430-b6e2-69c12f15677c,5e626181-1d8a-476b-ab10-8bd3e9ea8bcc,2023-04-21,Sports,112.32,4.0,Gift Card,Pending,1.0
2c049d42-e9e1-4b8f-abb6-75192b987186,8c458abe-4a52-430f-89e2-188393eb190d,2023-07-09,Home & Kitchen,59.98,4.0,Crypto,Pending,3.0
ec93a700-326d-46f1-aedf-916107bbdae6,8c8a536c-95f2-477e-b866-7eb54625c983,2024-04-20,Electronics,25.95,4.0,Debit Card,Shipped,3.0
6da7639c-3a75-4fac-9ff0-54c380bf4c78,58d920f1-4bd1-47c8-a2a6-eb5e9613e908,2024-11-27,Books,275.69,1.0,PayPal,Delivered,3.0
dbea35eb-e996-4792-a07b-ecf40fb95221,a353dabc-b8d5-4f5d-98ad-b030d8a24a6b,2023-07-18,Clothing,146.77,2.0,Gift Card,Delivered,3.0
f833ee8c-fb8b-4ef1-acb2-b78c464bd97c,6f279f1b-8f1c-49a2-ba78-833183891349,2024-09-13,Home & Kitchen,106.72,5.0,Gift Card,Delivered,1.0
3b83527b-d3a2-48bd-a27b-ffdf1426f3c3,8243e1a1-efec-4c5a-8a53-dcc2dbf88d6c,2024-10-05,Electronics,242.41,2.0,PayPal,Shipped,3.0
2bd1867b-1e92-4155-944b-eee3c0158494,913dfb6d-c1ce-482f-8986-1eb545d87373,2024-03-12,Clothing,394.9,5.0,Debit Card,Pending,3.0
3cc9e2fd-3120-40e9-b31f-274182373abe,7b435f20-af6d-4a48-afb2-b41a1cbaef68,2024-10-08,Home & Kitchen,454.2,3.0,Debit Card,Delivered,1.0
3be26028-10e2-4b39-82b1-d078328abfe1,5007361f-1f6a-4bd6-a29c-6635e79447b4,2024-10-31,Clothing,445.15,1.0,Credit Card,Pending,1.0
deafdb00-a254-49e2-a10b-c97ee3cbec6f,d6d130d5-9f40-4fa6-bd07-7f9461c82d12,2024-05-03,Electronics,364.43,1.0,PayPal,Delivered,4.0
585a65c9-51be-4dc1-9504-c95b9d33f098,1927c124-8cc1-4c15-b2f3-7c4742794a51,2023-06-27,Clothing,415.74,1.0,Crypto,Delivered,3.0
ad2a0d58-eacf-48fa-9ac8-f34bf4afd080,6915acb4-aa06-45e6-b75f-088047d1a552,2023-08-16,Clothing,31.65,3.0,Crypto,Pending,3.0
2ac6c1d6-32b0-49a1-b520-b4de71e81fd2,853f293e-575a-4aee-9476-5367073009f6,2025-01-08,Clothing,317.05,3.0,PayPal,Pending,3.0
eb377f2b-5779-4be6-99f5-569e52555a3e,d40f10f1-4298-40cd-ae09-36464d952012,2024-01-31,Home & Kitchen,283.68,2.0,Credit Card,Delivered,3.0
4db2aed1-87c9-47d0-8982-75ec0d0b8a3f,bcddc697-3dd0-4af8-ad14-88188e5b90df,2024-05-01,Electronics,152.74,2.0,PayPal,Shipped,3.0
0e86a709-8822-4d3a-9b4c-3dda95e2dd99,e04612cc-83ee-4001-bc5c-cfb583fc33e8,2024-07-14,Electronics,287.89,3.0,Gift Card,Shipped,5.0
6457b598-a5b6-46a4-b8ca-09e12c805e04,87986d8c-a2f4-4b26-bb7a-fb64a1dae84a,2024-09-11,Books,307.48,1.0,Credit Card,Delivered,5.0
f80155fd-2b98-4e2d-9bbb-0c035a8fe73a,10a2e5ca-371c-4995-afa5-42b1f19dcdab,2024-07-10,Electronics,239.24,4.0,Gift Card,Cancelled,3.0
85901ae9-4238-4d6b-add6-266e066eb671,4f282a22-6549-4e41-bfaa-e08ceb3b8c90,2023-07-31,Sports,427.73,2.0,Crypto,Pending,3.0
360e8f47-36f5-498d-a976-9bf434f94f8c,0a40fa87-c8c9-499a-a4d9-ae8ea1a25abc,2023-03-02,Electronics,117.53,5.0,PayPal,Pending,3.0
8fc70aa7-5877-47bb-834d-523797e2c5ec,f6d91545-bd63-4a76-a8c5-595ed7223c59,2023-08-14,Clothing,315.61,1.0,Gift Card,Pending,3.0
30517d45-6e28-4bb2-8088-81353cedff30,6bd84876-657c-43b5-907e-a13e2cb3f0ad,2024-04-23,Clothing,128.44,1.0,Gift Card,Shipped,5.0
89032b0f-83f6-492a-92ce-b0fd992bae0f,0ca3abe1-45f9-432a-974e-4f6331d09f55,2025-02-03,Sports,365.89,3.0,Crypto,Delivered,5.0
4313a34d-ad0c-4446-b156-cf0f0921aca4,e55d70c8-e0ec-4224-867d-530d8580dcba,2023-09-18,Sports,379.27,4.0,PayPal,Pending,2.0
ece0f635-16f1-4518-a1e1-e4eac46d1fb4,23246a43-2f30-4b06-9807-d491c2bf3ed1,2024-02-16,Electronics,446.75,2.0,PayPal,Pending,3.0
d41f9699-a2b6-4c11-8877-418fdee0b1cd,c6ae8adb-320b-45e4-a44d-889cb6d7b80f,2025-01-21,Electronics,185.48,3.0,Debit Card,Delivered,4.0
182c047b-7ee7-4755-93ee-a333067e7ba7,04269fc6-0111-4700-82ec-b1d48f9a2ae9,2023-11-15,Books,256.86,5.0,PayPal,Delivered,5.0
d4f41d8d-cd03-4154-b9af-1cfc64945db8,bd46e280-1f3f-4c75-ae51-bd54aa30d1c5,2023-07-28,Home & Kitchen,297.08,5.0,Crypto,Delivered,3.0
946fa119-d98d-411a-9b32-a17aa65748ee,d34cf901-5405-47fe-bfe9-1b520f2a5145,2024-12-03,Electronics,162.01,1.0,Crypto,Shipped,2.0
c68fccea-4685-4acc-8be6-76db9e3830de,9f02c474-7daf-4287-a258-e478e82cd500,2024-11-29,Sports,317.75,2.0,Debit Card,Shipped,4.0
2604d1d0-5278-4d52-9bf3-db87b6b9c5d1,057b8437-6386-4981-be66-7628d66907c2,2024-01-01,Sports,265.45,3.0,PayPal,Pending,3.0
b7663389-8b63-4a92-8574-72ec2a1af8b0,8e60e97e-8425-4b5e-b8cc-f41f5e4add91,2024-06-21,Home & Kitchen,209.78,5.0,Debit Card,Pending,4.0
9f5934fa-b111-48fe-aede-4405ad04681d,638ae7eb-85ad-4598-993f-6f21c0cd0350,2023-09-26,Home & Kitchen,377.73,1.0,Gift Card,Pending,5.0
a1d521c5-5b24-44cb-bacc-026e59115783,c349d01e-e5fc-4a9d-9ae8-5c97d52428dc,2023-08-08,Books,281.43,4.0,Crypto,Pending,2.0
0e0a199a-6d5b-439b-87a4-82a2e63cee90,be827108-067d-4879-a70f-4629c7812aff,2024-05-22,Electronics,232.0,3.0,Crypto,Delivered,3.0
0c19b69f-d9ee-48f8-ba28-e17552aa1503,2be1bf70-2592-4d26-96a5-bf58fdfc69b8,2023-11-03,Electronics,254.71072557818434,2.0,Debit Card,Shipped,2.0
32428d98-a4d6-4a24-b051-04e420218107,a95033f1-ef92-4eaa-9695-b61e31564e50,2024-11-26,Clothing,368.68,4.0,Credit Card,Shipped,3.0
1ac683cd-5821-4a14-9c71-107e11e59e6a,53be93e5-535c-41ab-97d1-ea80b5536b1e,2024-11-04,Electronics,142.51,2.0,Crypto,Shipped,3.0
c51c31d8-c957-43ac-bd66-d33fcc423d68,efab99a9-34ad-42a0-bee0-11a2eba5f2aa,2023-11-01,Sports,347.63,4.0,Debit Card,Delivered,1.0
e6b0827f-92d6-4eed-9c74-32cab2cfeb22,ddf97257-eeca-4050-906c-4979bd38d832,2024-04-13,Books,184.96,4.0,Credit Card,Delivered,5.0
7dedf02b-73c2-4bb5-844b-10086b0240ae,a7946410-f9e0-4f6d-a16b-db1d52f85c8f,2024-04-06,Sports,42.18,2.0,Debit Card,Pending,3.0
44eb85f9-0b3e-4eff-8fb2-26a153ec23f9,8c8dc2a8-50f7-42d4-889c-d12f5c2ea5fe,2024-12-20,Sports,469.13,4.0,Debit Card,Delivered,3.0
d838ba79-5500-43f1-b11d-226a0e4c6eab,542a6435-5699-4288-aee3-c08d8472eb5b,2024-09-02,Electronics,275.58,2.0,Credit Card,Delivered,2.0
2d2d420d-f74f-403b-beb2-41a94cafa5e4,435dba18-b6ab-484b-8477-012ce52655ca,2023-05-07,Sports,93.78,1.0,Crypto,Shipped,3.0
086a7a9b-f54b-4875-bcdb-e00e354dd4ae,62e243e3-3d40-45ea-8c36-24834e6f3d65,2023-08-19,Home & Kitchen,458.98,1.0,Debit Card,Shipped,1.0
0cc2a01c-a2ad-4627-b9de-5183833d51a7,293441f6-d5e6-4939-973c-2c7d0dcd062d,2023-06-07,Books,207.96,5.0,Credit Card,Shipped,5.0
f4568f7a-97de-4c94-aead-c85f0d854c9d,fff99959-4328-4909-8965-d4767fe01c1c,2023-03-07,Clothing,484.38,1.0,Crypto,Shipped,5.0
e413a63c-9695-43e7-9560-e54b23002972,d89662cd-e8f1-4101-a7c6-3c0d57838763,2024-09-27,Clothing,136.61,5.0,Debit Card,Shipped,3.0
8890059d-1eee-40ae-8880-b7a7f9340648,862e033b-2406-4eb3-8040-b2aa89690c16,2023-07-31,Home & Kitchen,110.04,3.0,Credit Card,Pending,5.0
4e7abd15-c47a-41cf-a5be-769873767af4,ae0be3cd-0c26-4fc4-8279-2bd3fe28487a,2023-12-06,Home & Kitchen,357.88,3.0,PayPal,Delivered,3.0
01c00262-5930-464d-a8d4-84515f2eedca,735dfd31-45fd-4867-8782-727911837ffc,2023-03-24,Home & Kitchen,369.45,4.0,Crypto,Shipped,5.0
58242023-16ae-42c2-a249-d019246574f5,19b7e66e-ce56-423a-a1ca-61a07cbbc0f1,2023-02-28,Electronics,112.56,3.0,Gift Card,Pending,3.0
9a5fd862-1a96-4655-b087-c8c3c19b7698,67410ae2-0b27-4b78-a542-7e88680f5d87,2024-10-16,Sports,193.56,2.0,Debit Card,Delivered,4.0
42e6a161-009a-4bc2-a874-0979c3419ad5,86a5d454-c1be-4baa-8827-147b2e1cde14,2024-02-21,Books,173.41,2.0,Credit Card,Shipped,2.0
b94a29e9-1392-441a-9adb-69d5dc4da67c,e1a89b48-999e-4fd9-b419-1dde7a9bdf45,2023-06-14,Sports,320.69,2.0,Debit Card,Delivered,5.0
9e7cceae-d547-4677-aeba-d0232e4b4811,87cbdfc4-4127-483b-820c-2f77073c0245,2023-05-08,Books,409.3,3.0,Crypto,Shipped,4.0
604bd2f8-f96e-4d2a-9b65-b642c078463b,979e6ac3-9b51-41b0-bd91-f2541efa142a,2024-09-12,Sports,256.34,3.0,PayPal,Delivered,4.0
032a2acb-164c-45bc-bac2-a249001091d1,ea669e4b-a219-4d52-a367-e4a81635818f,2024-05-31,Home & Kitchen,176.43,5.0,PayPal,Shipped,1.0
ab078505-f772-4c77-bbc1-c7c9b623f9c5,ae75eec9-446a-4337-a0ca-8ddb3ed42899,2024-06-06,Clothing,201.81,2.0,Crypto,Delivered,3.0
4b8f731d-14e5-4d02-8653-6cdb8fcf795b,297ccd12-b2c1-4b34-a7db-77d2480295f7,2023-07-09,Electronics,254.85844200897483,1.0,Crypto,Shipped,3.0
292b70b7-ba2f-460f-aa6f-3c747ec11a2b,87e1ce61-c741-4ddf-8f24-fbdb14e1e313,2024-11-07,Home & Kitchen,54.96,4.0,Credit Card,Pending,1.0
3d6a637d-0f87-4391-b297-c4077a6a63f0,abdf4461-968a-4af6-a3b9-b1e9f9d9d297,2023-12-31,Clothing,188.23,4.0,Crypto,Shipped,4.0
905af811-475f-4181-a478-44c81443141f,563f8a0d-0b2d-4272-8fb8-d8be7b725d12,2023-10-19,Books,295.34,3.0,Debit Card,Shipped,3.0
0abeb3b7-ff44-4008-bb34-310e95ce87c3,6863c750-20d7-4c19-a740-923509a639bb,2023-04-18,Home & Kitchen,246.17,3.0,Debit Card,Delivered,3.0
54d87d36-cfca-411d-a187-533711f91239,ec9b592e-049b-46b4-bc0f-76eda9b0e250,2024-07-25,Books,226.49,2.0,Crypto,Pending,4.0
8a0fe25d-573e-46e0-b948-9cca149c4395,0b9db6e1-7baa-4790-a713-17469fcd6664,2023-07-06,Clothing,146.85,1.0,PayPal,Pending,5.0
31e064df-7c3e-4013-a14c-06b747e72976,21cf0ddb-d9f8-4a40-a376-b20418bda8c4,2024-11-01,Clothing,348.14,4.0,Gift Card,Delivered,2.0
1fa88c08-cb7d-433c-894d-5260d62dd9fd,92e03bde-9b26-4673-928a-b595d916e4fc,2023-09-13,Electronics,241.52,1.0,Gift Card,Shipped,3.0
68295b90-d279-4837-a3f1-82bc5875c46b,66616ac3-0fdf-44cc-871f-24b17574f6da,2023-07-10,Home & Kitchen,175.45,2.0,Crypto,Pending,4.0
5c6a954a-c7fc-4ae3-a751-6c26c65aebf8,0da7ba4c-895c-460c-9b20-84bdb8763326,2024-03-01,Books,99.76,1.0,Debit Card,Shipped,1.0
a4fbb73a-6ac6-4f2e-af78-63acefa4794d,2ff69681-5a63-4579-a69f-f7ef4d210e12,2023-11-17,Electronics,375.63,3.0,Debit Card,Delivered,3.0
a8e7b216-fe52-460e-9925-281a513e2efe,4438da92-db2a-4614-84e5-b46761aace65,2024-10-12,Books,42.6,1.0,Gift Card,Pending,4.0
36325356-66c5-4f70-b9b0-dfb5c1368b18,bcf85819-aa6d-4466-bc66-13d36024927d,2025-01-21,Home & Kitchen,34.47,3.0,Credit Card,Cancelled,4.0
2b60174b-5ac4-42bb-bf16-da6495b4b3f7,03de4ef8-5fc0-4714-9b55-9f20a8ef456f,2024-01-31,Clothing,304.86,5.0,PayPal,Shipped,3.0
0ed8f3d7-861a-4322-82df-c5bc7b1d109f,b4cc8c40-847b-4fe2-8598-4e0ac66892f4,2024-07-20,Sports,61.95,5.0,Debit Card,Delivered,1.0
7e0fa263-072c-4572-bd9b-2a701c7b96ea,f97282bb-5bc0-4d31-95a4-6ae4768f9fbb,2024-04-20,Clothing,179.64,3.0,Gift Card,Delivered,3.0
a5965e16-12c3-464e-b0e3-9d3208d3876e,a6e6310a-8955-4153-8a91-5452887c1b32,2024-03-24,Sports,16.35,2.0,Gift Card,Delivered,2.0
b0190f88-1663-47b7-a4e6-cc99de57e7d3,1456abb1-ec67-47ad-a9cb-4f02ed637ee0,2024-08-23,Clothing,16.99,3.0,Debit Card,Delivered,3.0
964f3ddb-af16-48d4-b607-86ede2199852,2186f822-4ab7-4fc2-b774-d5ecdff5fbb0,2023-11-10,Sports,392.46,5.0,Gift Card,Pending,3.0
0e43a0a7-c044-4cc7-84a6-9f92693bc9fd,dd79e891-0f98-467a-9eae-5a6bef414b6a,2024-10-11,Home & Kitchen,193.75,4.0,Credit Card,Cancelled,5.0
d1b40c78-b4be-4d18-9a87-0bf7d38858ea,eb005aa2-4ce4-45d4-bd76-07c95db7bea2,2023-05-02,Electronics,82.8,5.0,Gift Card,Delivered,3.0
9bf6c5f3-8c64-4ed1-8297-bc31b276f457,b4507423-b689-4727-979a-b191573dff09,2024-12-01,Electronics,367.52,3.0,PayPal,Delivered,4.0
9aa5e8e8-b288-4d07-a886-ba08eb941d9f,9abdc1ae-684e-4004-9f74-7c4b253d6379,2023-11-30,Books,358.98,5.0,Crypto,Delivered,3.0
2f0b30d8-0711-4296-abe0-bf47c6219edd,5607aa21-793f-4fdb-883a-8410a0e31732,2023-11-21,Home & Kitchen,404.73,2.0,Gift Card,Pending,2.0
c6a35316-fe60-4704-8b6e-e781bb8338a8,ff7f6a1e-6466-4f8f-8034-1e44843b26bd,2023-04-10,Clothing,185.74,5.0,Gift Card,Delivered,1.0
7ddb031a-75aa-4e18-963e-3fee2bb00be5,9a2ed36c-5d4d-4858-8ffa-7d6a043c6406,2023-08-31,Clothing,11.57,5.0,Debit Card,Delivered,3.0
41f793a6-c635-4810-87fa-7db8aa681d0d,89cb05d0-06d5-479c-b624-c8caec2f3a43,2024-12-07,Clothing,483.39,4.0,PayPal,Pending,3.0
c62ff727-29ed-4b6f-bcc5-d562d09a5169,e7d61ddd-3d52-4f8c-bb09-82185c16e2b3,2024-12-05,Books,354.41,3.0,PayPal,Shipped,3.0
5ca01e94-07d5-4b1d-9b7a-363f17c3e0c2,60409b35-7665-406a-b58f-9933bf6a1e81,2024-01-21,Sports,479.85,1.0,Credit Card,Pending,4.0
790608f6-007e-475f-b4c4-6fd442ab9180,7cc2937c-e6a3-4bc7-bc4d-c1dd846f2696,2023-05-20,Books,304.05,1.0,Credit Card,Delivered,1.0
d726a3d8-566a-4bc5-a596-a8fd6fb94cda,2bbce040-6b08-4c99-b54e-937ef0676099,2024-05-11,Electronics,297.3,1.0,Gift Card,Shipped,2.0
990c9606-1168-40c0-9326-41f9dbe84f25,e928d6d5-9c58-4960-b766-c0396f726c47,2024-03-18,Books,257.12,5.0,Crypto,Delivered,2.0
17d2c079-1942-4071-9748-4f00816ad5e6,58cd84b9-f5c3-42ae-b4dc-58eaf1dd2834,2023-08-23,Clothing,254.4152927166034,4.0,PayPal,Shipped,1.0
eb29e34a-5051-4d84-a494-49e933149306,e5c12ef4-7ed2-433d-81a7-78165c237d8d,2024-07-01,Home & Kitchen,389.8,3.0,Gift Card,Pending,3.0
7352eb55-d4d4-4be7-8379-90d2901755ee,69f69a68-28a7-4a38-9ee6-fc0e9a19528f,2023-12-20,Sports,163.91,1.0,Credit Card,Delivered,1.0
88272e40-166f-4171-963f-a968346b7fde,6961138d-8bca-4f5a-9fef-d43fa971b573,2023-09-15,Sports,491.01,4.0,Debit Card,Shipped,5.0
e193d12b-bcfd-4dbd-b880-2bf2fa0b8d5a,db69455f-0174-4507-ac1b-cd3def08979e,2024-05-07,Clothing,82.44,4.0,Gift Card,Shipped,3.0
99a75340-3943-4234-bb4d-74cbdf32cb81,fcba7e52-5bb1-4e63-b2c1-6d23241b0fa6,2023-11-25,Clothing,26.5,2.0,Gift Card,Delivered,3.0
c29ea537-6ff1-4124-a978-6a72002aac20,2348699c-cc6c-464b-b3d7-5b19e2cb213a,2024-11-06,Home & Kitchen,395.55,1.0,Crypto,Shipped,1.0
a0f13259-d98a-401c-a94d-78f580306d7d,11e621a5-7d3b-43bc-ae2c-059362cc07e3,2023-06-20,Books,294.44,1.0,Credit Card,Delivered,4.0
4d310697-a3bd-423d-a291-d04800bc0183,6edd26a7-7e52-4b0c-9959-a8b4b244b510,2023-08-30,Books,42.29,2.0,PayPal,Delivered,5.0
8a4ea232-b1ab-4885-b43d-a18b0f3f4482,ec6fb7c8-7536-420d-8e87-9bf22e40cf3e,2023-10-07,Sports,80.61,4.0,Credit Card,Shipped,3.0
c3ff0bc2-8a79-44c6-8ad6-1af29499cbe5,b32cc6da-1f2c-4b5d-adec-6cca05768774,2025-01-24,Electronics,76.7,3.0,Debit Card,Pending,1.0
456db248-7fb0-4516-8048-6322c4e20e2d,6613f77a-bb23-44e6-810f-f5b093a82d95,2023-05-26,Sports,254.26757628581294,5.0,Credit Card,Delivered,5.0
e564027f-506d-49e3-ae88-19231e9423e8,918405d3-202a-400d-ad96-3c210a95344f,2023-04-29,Sports,405.77,2.0,Credit Card,Shipped,2.0
3adca5cc-26db-4d94-827c-95d55c8ee20e,855a87ae-a6ec-4800-a3b9-fd23ebf0fa2d,2024-10-20,Clothing,372.43,1.0,Crypto,Pending,1.0
1871311d-790b-4451-a4d1-4f5188f4dace,177c715b-c97c-4db1-b83b-96aa37a141b8,2023-08-15,Electronics,53.3,3.0,Crypto,Shipped,3.0
577dcd51-6e2b-4c4e-9cee-415dd430fdba,06e351d6-5045-48a9-b2a6-0819d0a52232,2024-12-01,Books,261.12,5.0,Crypto,Shipped,1.0
b6da5859-348e-4c7c-972b-88477fd052c6,5ee4f8d7-55d3-47ff-9808-6eedd3669506,2023-12-24,Books,258.37,4.0,PayPal,Pending,3.0
f05eb378-002c-415a-ba3f-bb2647691023,a732b973-0081-4a5d-8c7e-2c2e5f4a97c0,2023-12-07,Clothing,64.12,2.0,Debit Card,Pending,1.0
6b09ad57-a2c0-4d78-acf3-f7c09bba6ba5,6266af36-f6d4-4a6a-80d2-2b6d43efacf4,2024-08-17,Sports,95.05,2.0,Crypto,Pending,3.0
7ee863f0-0c2d-4769-af45-ca14f8914bd0,8611f935-2875-40a4-8f86-441589a49aef,2023-08-15,Sports,345.03,2.0,Credit Card,Shipped,4.0
b190cf25-5ce7-4ab5-a413-ecda20124e9d,87b8fb87-ccfa-4681-9d4f-1379191a7691,2023-04-20,Electronics,467.69,2.0,Crypto,Cancelled,2.0
085f764a-278f-4aae-9e76-9ac6c1cff042,450b23b4-a77b-443b-83de-b62895550f2b,2023-10-08,Home & Kitchen,166.0,2.0,Credit Card,Delivered,4.0
25ad3d6d-de24-4bd5-881f-3f4097a47842,da7f7867-fe7c-492f-9083-17270bde892c,2024-05-02,Clothing,447.97,4.0,Credit Card,Cancelled,2.0
7952096a-f37b-487a-9a07-064620a9a2ef,5097299a-60a3-4e63-9185-89b0029db3c1,2024-12-15,Clothing,373.29,1.0,PayPal,Pending,3.0
